emp_id,name,department,salary,hire_date,email,manager_id
E001,Alice,Marketing,82407,2022-05-04,emp1@company.com,
E002,Bob,Marketing,119682,2020-12-02,emp2@company.com,
E003,François,IT,103274,2021-09-07,emp3@company.com,
E004,José,Sales,71449,2021-07-04,emp4@company.com,
E005,François,Finance,83042,2025-05-31,emp5@company.com,
E006,Müller,Finance,42604,2022-09-23,emp6@company.com,
E007,Alice,Marketing,66857,2025-03-20,emp7@company.com,
E008,Bob,Marketing,115242,2023-03-20,emp8@company.com,
E009,Alice,HR,40694,2023-01-10,emp9@company.com,
E010,Bob,Finance,125897,2024-01-20,emp10@company.com,
E011,Alice,Marketing,64358,2022-02-19,emp11@company.com,
E012,Bob,Sales,77138,2023-06-23,emp12@company.com,
E013,François,Sales,121164,2023-04-13,emp13@company.com,
E014,José,HR,126021,2024-12-01,emp14@company.com,
E015,Müller,Sales,82468,2024-10-04,emp15@company.com,
E016,Bob,HR,136642,2021-03-09,emp16@company.com,
E017,François,IT,132446,2021-05-31,emp17@company.com,
E018,Müller,Finance,106081,2025-08-02,emp18@company.com,
E019,François,Sales,65671,2022-07-07,emp19@company.com,
E020,François,HR,127648,2025-01-14,emp20@company.com,
E021,Alice,HR,139246,2025-05-01,emp21@company.com,
E022,José,IT,46935,2020-08-10,emp22@company.com,
E023,Müller,IT,112286,2023-06-02,emp23@company.com,
E024,François,Finance,73122,2022-04-06,emp24@company.com,
E025,José,Finance,50533,2023-02-08,emp25@company.com,
E026,José,IT,92354,2021-06-27,emp26@company.com,
E027,Müller,Sales,100158,2022-06-25,emp27@company.com,
E028,Bob,HR,79252,2022-01-28,emp28@company.com,
E029,Bob,Sales,113975,2021-09-25,emp29@company.com,
E030,José,HR,81269,2020-09-10,emp30@company.com,
E031,Alice,Finance,93736,2021-11-18,emp31@company.com,
E032,Bob,IT,57891,2021-10-26,emp32@company.com,
E033,José,HR,54116,2025-05-30,emp33@company.com,
E034,Alice,HR,46352,2021-02-16,emp34@company.com,
E035,François,HR,143159,2022-06-26,emp35@company.com,
E036,José,HR,85677,2023-02-27,emp36@company.com,
E037,José,Marketing,85277,2022-01-24,emp37@company.com,
E038,Alice,Finance,102198,2020-11-28,emp38@company.com,
E039,Alice,IT,43771,2021-10-11,emp39@company.com,
E040,Müller,HR,66055,2025-05-27,emp40@company.com,
E041,José,Finance,118560,2023-03-23,emp41@company.com,
E042,Bob,HR,106765,2020-07-28,emp42@company.com,
E043,Bob,HR,89236,2023-04-13,emp43@company.com,
E044,Bob,Marketing,63603,2022-01-27,emp44@company.com,
E045,François,Finance,56517,2020-06-18,emp45@company.com,
E046,Alice,HR,80715,2023-01-12,emp46@company.com,
E047,Müller,IT,149907,2020-07-03,emp47@company.com,
